phenotype_names,CTQ_Term,Sex,Region,Effect_Size_Main_Ped,P_Main_Ped,Q_Main_Ped,Significant_Main_Ped,Effect_Size_Cov_Ped,P_Cov_Ped,Q_Cov_Ped,Significant_Cov_Ped,Sample_Size_Ped,Effect_Size_Main_YA,P_Main_YA,Q_Main_YA,Significant_Main_YA,Effect_Size_Cov_YA,P_Cov_YA,Q_Cov_YA,Significant_Cov_YA,Sample_Size_YA,Effect_Size_Main_OA,P_Main_OA,Q_Main_OA,Significant_Main_OA,Effect_Size_Cov_OA,P_Cov_OA,Q_Cov_OA,Significant_Cov_OA,Sample_Size_OA
cortical_thickness,CTQ_Neglect,female,L_caudalanteriorcingulate_thickavg,-0.094 (0.075),2.09E-01,8.58E-01,No,0.635 (0.154) *,5.71E-05,1.25E-03,Yes,189,-0.1 (0.034) *,3.36E-03,3.80E-02,Yes,0.12 (0.073),9.87E-02,2.62E-01,No,1163,-0.018 (0.038),6.35E-01,8.59E-01,No,-0.077 (0.077),3.19E-01,4.21E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_caudalmiddlefrontal_thickavg,0.027 (0.078),7.31E-01,9.44E-01,No,-0.207 (0.16),1.97E-01,2.85E-01,No,189,0.04 (0.034),2.45E-01,4.76E-01,No,-0.035 (0.073),6.30E-01,7.39E-01,No,1163,0.094 (0.038),1.37E-02,1.15E-01,No,-0.276 (0.076) *,3.18E-04,1.44E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,L_cuneus_thickavg,0.057 (0.077),4.62E-01,9.02E-01,No,0.21 (0.16),1.89E-01,2.80E-01,No,189,0.021 (0.034),5.34E-01,7.73E-01,No,-0.1 (0.073),1.71E-01,3.32E-01,No,1163,-0.009 (0.038),8.21E-01,9.08E-01,No,-0.277 (0.076) *,3.02E-04,1.44E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,L_entorhil_thickavg,0.098 (0.078),2.09E-01,8.58E-01,No,0.041 (0.16),7.98E-01,8.10E-01,No,189,-0.089 (0.034),9.19E-03,7.81E-02,No,0.102 (0.073),1.60E-01,3.20E-01,No,1163,-0.004 (0.038),9.21E-01,9.37E-01,No,0.209 (0.077) *,6.55E-03,1.68E-02,Yes,864
cortical_thickness,CTQ_Neglect,female,L_fusiform_thickavg,0.016 (0.078),8.41E-01,9.44E-01,No,0.093 (0.161),5.62E-01,6.37E-01,No,189,-0.036 (0.034),2.88E-01,5.29E-01,No,0.123 (0.073),8.97E-02,2.54E-01,No,1163,-0.039 (0.038),2.99E-01,5.64E-01,No,0.322 (0.076) *,2.63E-05,2.99E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,L_inferiorparietal_thickavg,0.066 (0.077),3.92E-01,8.94E-01,No,-0.338 (0.159),3.49E-02,9.14E-02,No,189,-0.05 (0.034),1.45E-01,3.90E-01,No,0.061 (0.073),4.00E-01,6.11E-01,No,1163,-0.041 (0.038),2.81E-01,5.61E-01,No,0.027 (0.077),7.23E-01,8.06E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_inferiortemporal_thickavg,-0.087 (0.077),2.61E-01,8.58E-01,No,0.346 (0.159),3.08E-02,8.36E-02,No,189,-0.047 (0.034),1.71E-01,4.01E-01,No,0.201 (0.073) *,5.68E-03,3.86E-02,Yes,1163,-0.005 (0.038),9.02E-01,9.37E-01,No,0.34 (0.076) *,8.73E-06,1.48E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,L_isthmuscingulate_thickavg,0.011 (0.077),8.92E-01,9.44E-01,No,0.267 (0.16),9.55E-02,1.80E-01,No,189,-0.079 (0.034),2.08E-02,1.29E-01,No,0.157 (0.073),3.07E-02,1.19E-01,No,1163,-0.045 (0.038),2.36E-01,4.87E-01,No,-0.028 (0.077),7.12E-01,8.06E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_lateraloccipital_thickavg,0.021 (0.077),7.83E-01,9.44E-01,No,0.221 (0.16),1.69E-01,2.61E-01,No,189,-0.042 (0.034),2.18E-01,4.49E-01,No,0.085 (0.073),2.40E-01,4.30E-01,No,1163,-0.049 (0.038),1.98E-01,4.21E-01,No,0.043 (0.077),5.77E-01,7.01E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_lateralorbitofrontal_thickavg,0.007 (0.077),9.27E-01,9.44E-01,No,0.233 (0.16),1.47E-01,2.38E-01,No,189,0.008 (0.034),8.04E-01,9.07E-01,No,-0.128 (0.073),7.94E-02,2.35E-01,No,1163,0.022 (0.038),5.59E-01,8.26E-01,No,-0.094 (0.077),2.25E-01,3.32E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_lingual_thickavg,0.135 (0.077),8.19E-02,8.58E-01,No,-0.085 (0.16),5.97E-01,6.59E-01,No,189,-0.008 (0.034),8.26E-01,9.07E-01,No,-0.078 (0.073),2.82E-01,4.79E-01,No,1163,-0.061 (0.038),1.08E-01,3.10E-01,No,-0.281 (0.076) *,2.29E-04,1.42E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,L_medialorbitofrontal_thickavg,-0.077 (0.074),3.03E-01,8.58E-01,No,0.675 (0.153) *,1.77E-05,6.02E-04,Yes,189,0.068 (0.034),4.67E-02,1.87E-01,No,-0.081 (0.073),2.63E-01,4.58E-01,No,1163,0.062 (0.038),1.05E-01,3.10E-01,No,0.002 (0.077),9.74E-01,9.89E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_middletemporal_thickavg,0.029 (0.078),7.13E-01,9.44E-01,No,-0.154 (0.161),3.39E-01,4.47E-01,No,189,-0.074 (0.034),3.04E-02,1.57E-01,No,0.259 (0.072) *,3.59E-04,4.88E-03,Yes,1163,-0.018 (0.038),6.30E-01,8.59E-01,No,0.27 (0.076) *,4.35E-04,1.85E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,L_parahippocampal_thickavg,0.025 (0.078),7.50E-01,9.44E-01,No,-0.193 (0.16),2.31E-01,3.21E-01,No,189,-0.015 (0.034),6.66E-01,8.48E-01,No,-0.026 (0.073),7.23E-01,8.30E-01,No,1163,-0.066 (0.038),8.26E-02,2.93E-01,No,0.209 (0.077) *,6.69E-03,1.68E-02,Yes,864
cortical_thickness,CTQ_Neglect,female,L_paracentral_thickavg,-0.014 (0.078),8.60E-01,9.44E-01,No,-0.099 (0.161),5.37E-01,6.19E-01,No,189,-0.004 (0.034),9.09E-01,9.65E-01,No,0.109 (0.073),1.33E-01,2.82E-01,No,1163,-0.035 (0.038),3.66E-01,6.36E-01,No,0.031 (0.077),6.89E-01,7.94E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_parsopercularis_thickavg,0.043 (0.077),5.79E-01,9.44E-01,No,-0.298 (0.159),6.30E-02,1.30E-01,No,189,0.04 (0.034),2.41E-01,4.76E-01,No,-0.16 (0.073),2.81E-02,1.19E-01,No,1163,0.019 (0.038),6.21E-01,8.59E-01,No,-0.214 (0.077) *,5.30E-03,1.50E-02,Yes,864
cortical_thickness,CTQ_Neglect,female,L_parsorbitalis_thickavg,0.062 (0.077),4.21E-01,8.94E-01,No,-0.334 (0.159),3.69E-02,9.29E-02,No,189,-0.008 (0.034),8.27E-01,9.07E-01,No,-0.063 (0.073),3.88E-01,6.11E-01,No,1163,0.085 (0.038),2.62E-02,1.37E-01,No,-0.0 (0.077),9.95E-01,9.95E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_parstriangularis_thickavg,0.004 (0.077),9.62E-01,9.62E-01,No,-0.309 (0.159),5.34E-02,1.23E-01,No,189,0.073 (0.034),3.21E-02,1.57E-01,No,-0.218 (0.073) *,2.71E-03,2.64E-02,Yes,1163,0.111 (0.038),3.61E-03,8.70E-02,No,-0.211 (0.077) *,6.12E-03,1.67E-02,Yes,864
cortical_thickness,CTQ_Neglect,female,L_pericalcarine_thickavg,0.03 (0.077),6.95E-01,9.44E-01,No,0.234 (0.16),1.44E-01,2.38E-01,No,189,0.021 (0.034),5.31E-01,7.73E-01,No,-0.167 (0.073),2.16E-02,1.12E-01,No,1163,-0.001 (0.038),9.80E-01,9.80E-01,No,-0.298 (0.076) *,1.02E-04,7.68E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,L_postcentral_thickavg,-0.065 (0.078),4.02E-01,8.94E-01,No,-0.059 (0.16),7.15E-01,7.48E-01,No,189,-0.063 (0.034),6.41E-02,2.18E-01,No,0.088 (0.073),2.24E-01,4.12E-01,No,1163,0.058 (0.038),1.29E-01,3.17E-01,No,-0.135 (0.077),8.02E-02,1.52E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_posteriorcingulate_thickavg,-0.106 (0.075),1.59E-01,8.58E-01,No,0.576 (0.155) *,2.72E-04,2.03E-03,Yes,189,-0.08 (0.034),1.98E-02,1.29E-01,No,0.092 (0.073),2.03E-01,3.84E-01,No,1163,-0.092 (0.038),1.62E-02,1.15E-01,No,-0.087 (0.077),2.56E-01,3.63E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_precentral_thickavg,-0.067 (0.077),3.81E-01,8.94E-01,No,-0.257 (0.159),1.07E-01,1.87E-01,No,189,-0.039 (0.034),2.58E-01,4.88E-01,No,0.116 (0.073),1.10E-01,2.66E-01,No,1163,-0.035 (0.038),3.65E-01,6.36E-01,No,0.129 (0.077),9.44E-02,1.69E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_precuneus_thickavg,0.087 (0.077),2.63E-01,8.58E-01,No,-0.285 (0.159),7.59E-02,1.52E-01,No,189,-0.009 (0.034),7.94E-01,9.07E-01,No,-0.039 (0.073),5.89E-01,7.28E-01,No,1163,-0.058 (0.038),1.31E-01,3.17E-01,No,-0.106 (0.077),1.70E-01,2.74E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_rostralanteriorcingulate_thickavg,-0.054 (0.075),4.67E-01,9.02E-01,No,0.617 (0.154) *,9.20E-05,1.25E-03,Yes,189,-0.07 (0.034),4.18E-02,1.78E-01,No,0.114 (0.073),1.18E-01,2.66E-01,No,1163,0.06 (0.038),1.14E-01,3.10E-01,No,0.005 (0.077),9.48E-01,9.89E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_rostralmiddlefrontal_thickavg,-0.072 (0.078),3.56E-01,8.94E-01,No,0.108 (0.161),5.03E-01,6.01E-01,No,189,0.094 (0.034),6.24E-03,6.06E-02,No,-0.114 (0.073),1.16E-01,2.66E-01,No,1163,0.09 (0.038),1.75E-02,1.15E-01,No,-0.357 (0.076) *,3.15E-06,1.07E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,L_superiorfrontal_thickavg,0.145 (0.077),5.93E-02,8.58E-01,No,-0.348 (0.158),2.92E-02,8.36E-02,No,189,0.128 (0.034) *,1.86E-04,6.31E-03,Yes,-0.191 (0.072),8.34E-03,5.16E-02,No,1163,0.058 (0.038),1.31E-01,3.17E-01,No,-0.104 (0.077),1.75E-01,2.74E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_superiorparietal_thickavg,0.048 (0.078),5.36E-01,9.44E-01,No,-0.133 (0.161),4.08E-01,5.04E-01,No,189,0.023 (0.034),5.05E-01,7.63E-01,No,-0.001 (0.073),9.84E-01,9.84E-01,No,1163,-0.018 (0.038),6.31E-01,8.59E-01,No,-0.11 (0.077),1.54E-01,2.56E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_superiortemporal_thickavg,-0.007 (0.078),9.30E-01,9.44E-01,No,-0.151 (0.16),3.49E-01,4.48E-01,No,189,-0.0 (0.034),9.92E-01,9.92E-01,No,0.128 (0.073),7.79E-02,2.35E-01,No,1163,-0.09 (0.038),1.85E-02,1.15E-01,No,0.296 (0.076) *,1.13E-04,7.68E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,L_supramargil_thickavg,0.022 (0.075),7.69E-01,9.44E-01,No,-0.579 (0.155) *,2.44E-04,2.03E-03,Yes,189,0.006 (0.034),8.69E-01,9.38E-01,No,0.023 (0.073),7.57E-01,8.30E-01,No,1163,-0.066 (0.038),8.16E-02,2.93E-01,No,-0.104 (0.077),1.77E-01,2.74E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_frontalpole_thickavg,0.009 (0.075),9.03E-01,9.44E-01,No,0.592 (0.154) *,1.68E-04,1.90E-03,Yes,189,0.048 (0.034),1.57E-01,3.90E-01,No,-0.007 (0.073),9.19E-01,9.50E-01,No,1163,0.083 (0.038),2.95E-02,1.43E-01,No,-0.246 (0.077) *,1.39E-03,4.98E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,L_temporalpole_thickavg,-0.03 (0.077),7.03E-01,9.44E-01,No,0.3 (0.159),6.12E-02,1.30E-01,No,189,-0.025 (0.034),4.66E-01,7.54E-01,No,0.12 (0.073),1.00E-01,2.62E-01,No,1163,-0.024 (0.038),5.32E-01,8.04E-01,No,0.259 (0.077) *,7.58E-04,3.03E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,L_transversetemporal_thickavg,0.181 (0.076),1.90E-02,6.47E-01,No,-0.311 (0.158),5.02E-02,1.22E-01,No,189,0.023 (0.034),5.03E-01,7.63E-01,No,-0.153 (0.073),3.49E-02,1.25E-01,No,1163,0.016 (0.038),6.70E-01,8.59E-01,No,-0.114 (0.077),1.38E-01,2.34E-01,No,864
cortical_thickness,CTQ_Neglect,female,L_insula_thickavg,0.012 (0.077),8.71E-01,9.44E-01,No,0.362 (0.158),2.34E-02,7.59E-02,No,189,-0.064 (0.034),6.35E-02,2.18E-01,No,0.035 (0.073),6.31E-01,7.39E-01,No,1163,0.012 (0.038),7.59E-01,8.83E-01,No,0.17 (0.077),2.69E-02,6.09E-02,No,864
cortical_thickness,CTQ_Neglect,female,R_bankssts_thickavg,0.041 (0.078),5.98E-01,9.44E-01,No,-0.144 (0.161),3.69E-01,4.65E-01,No,189,-0.026 (0.034),4.48E-01,7.42E-01,No,0.05 (0.073),4.95E-01,6.60E-01,No,1163,-0.104 (0.038),6.40E-03,8.70E-02,No,0.15 (0.077),5.14E-02,1.03E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_caudalanteriorcingulate_thickavg,-0.065 (0.077),4.02E-01,8.94E-01,No,0.357 (0.159),2.56E-02,7.90E-02,No,189,-0.018 (0.034),6.04E-01,8.10E-01,No,-0.042 (0.073),5.66E-01,7.13E-01,No,1163,0.008 (0.038),8.28E-01,9.08E-01,No,0.003 (0.077),9.67E-01,9.89E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_caudalmiddlefrontal_thickavg,0.12 (0.075),1.14E-01,8.58E-01,No,-0.573 (0.155) *,2.98E-04,2.03E-03,Yes,189,0.03 (0.034),3.86E-01,6.74E-01,No,-0.141 (0.073),5.33E-02,1.81E-01,No,1163,-0.012 (0.038),7.55E-01,8.83E-01,No,-0.24 (0.076) *,1.73E-03,5.89E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,R_cuneus_thickavg,0.028 (0.076),7.16E-01,9.44E-01,No,0.416 (0.157) *,8.90E-03,3.78E-02,Yes,189,-0.014 (0.034),6.73E-01,8.48E-01,No,-0.053 (0.073),4.70E-01,6.39E-01,No,1163,0.004 (0.038),9.12E-01,9.37E-01,No,-0.193 (0.077) *,1.21E-02,2.94E-02,Yes,864
cortical_thickness,CTQ_Neglect,female,R_entorhil_thickavg,-0.029 (0.078),7.06E-01,9.44E-01,No,0.1 (0.161),5.36E-01,6.19E-01,No,189,-0.115 (0.034) *,8.18E-04,1.85E-02,Yes,0.06 (0.072),4.04E-01,6.11E-01,No,1163,-0.032 (0.038),4.09E-01,6.63E-01,No,0.13 (0.077),9.05E-02,1.66E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_fusiform_thickavg,-0.012 (0.077),8.82E-01,9.44E-01,No,0.237 (0.16),1.40E-01,2.38E-01,No,189,0.013 (0.034),7.09E-01,8.61E-01,No,0.064 (0.073),3.76E-01,6.09E-01,No,1163,-0.017 (0.038),6.58E-01,8.59E-01,No,0.249 (0.077) *,1.19E-03,4.50E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,R_inferiorparietal_thickavg,-0.103 (0.077),1.86E-01,8.58E-01,No,0.263 (0.16),1.01E-01,1.85E-01,No,189,-0.02 (0.034),5.50E-01,7.79E-01,No,0.204 (0.073) *,5.09E-03,3.86E-02,Yes,1163,-0.016 (0.038),6.82E-01,8.59E-01,No,0.23 (0.077) *,2.72E-03,8.41E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,R_inferiortemporal_thickavg,-0.107 (0.077),1.68E-01,8.58E-01,No,0.347 (0.159),2.99E-02,8.36E-02,No,189,-0.046 (0.034),1.83E-01,4.02E-01,No,0.137 (0.073),5.90E-02,1.91E-01,No,1163,-0.006 (0.038),8.69E-01,9.37E-01,No,0.34 (0.076) *,8.62E-06,1.48E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,R_isthmuscingulate_thickavg,-0.085 (0.077),2.74E-01,8.58E-01,No,0.305 (0.159),5.69E-02,1.25E-01,No,189,-0.046 (0.034),1.83E-01,4.02E-01,No,0.165 (0.073),2.30E-02,1.12E-01,No,1163,-0.066 (0.038),8.61E-02,2.93E-01,No,0.003 (0.077),9.65E-01,9.89E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_lateraloccipital_thickavg,-0.007 (0.076),9.28E-01,9.44E-01,No,0.44 (0.157) *,5.70E-03,2.77E-02,Yes,189,-0.085 (0.034),1.28E-02,9.67E-02,No,0.202 (0.073) *,5.45E-03,3.86E-02,Yes,1163,-0.011 (0.038),7.71E-01,8.83E-01,No,0.312 (0.076) *,4.73E-05,4.02E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,R_lateralorbitofrontal_thickavg,0.014 (0.077),8.58E-01,9.44E-01,No,0.272 (0.159),8.93E-02,1.74E-01,No,189,0.018 (0.034),6.07E-01,8.10E-01,No,-0.023 (0.073),7.55E-01,8.30E-01,No,1163,0.094 (0.038),1.41E-02,1.15E-01,No,-0.081 (0.077),2.89E-01,3.93E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_lingual_thickavg,0.085 (0.078),2.75E-01,8.58E-01,No,0.038 (0.16),8.15E-01,8.15E-01,No,189,0.048 (0.034),1.55E-01,3.90E-01,No,-0.295 (0.072) *,4.87E-05,1.66E-03,Yes,1163,-0.016 (0.038),6.76E-01,8.59E-01,No,-0.318 (0.076) *,3.16E-05,3.07E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,R_medialorbitofrontal_thickavg,-0.081 (0.075),2.81E-01,8.58E-01,No,0.619 (0.154) *,8.71E-05,1.25E-03,Yes,189,0.072 (0.034),3.46E-02,1.57E-01,No,-0.055 (0.073),4.52E-01,6.29E-01,No,1163,0.091 (0.038),1.76E-02,1.15E-01,No,-0.127 (0.077),9.85E-02,1.72E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_middletemporal_thickavg,-0.047 (0.077),5.44E-01,9.44E-01,No,-0.261 (0.159),1.03E-01,1.85E-01,No,189,-0.104 (0.034) *,2.35E-03,3.20E-02,Yes,0.156 (0.073),3.15E-02,1.19E-01,No,1163,-0.085 (0.038),2.58E-02,1.37E-01,No,0.28 (0.076) *,2.66E-04,1.44E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,R_parahippocampal_thickavg,0.019 (0.078),8.09E-01,9.44E-01,No,-0.153 (0.161),3.42E-01,4.47E-01,No,189,-0.048 (0.034),1.61E-01,3.90E-01,No,-0.004 (0.073),9.62E-01,9.76E-01,No,1163,-0.077 (0.038),4.42E-02,2.00E-01,No,0.162 (0.077),3.54E-02,7.30E-02,No,864
cortical_thickness,CTQ_Neglect,female,R_paracentral_thickavg,-0.072 (0.077),3.49E-01,8.94E-01,No,-0.211 (0.159),1.87E-01,2.80E-01,No,189,0.013 (0.034),7.05E-01,8.61E-01,No,0.057 (0.073),4.33E-01,6.29E-01,No,1163,-0.025 (0.038),5.15E-01,8.03E-01,No,0.045 (0.077),5.63E-01,6.97E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_parsopercularis_thickavg,0.042 (0.074),5.68E-01,9.44E-01,No,-0.675 (0.153) *,1.69E-05,6.02E-04,Yes,189,0.009 (0.034),7.84E-01,9.07E-01,No,-0.174 (0.073),1.66E-02,9.43E-02,No,1163,-0.038 (0.038),3.26E-01,6.00E-01,No,-0.086 (0.077),2.65E-01,3.68E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_parsorbitalis_thickavg,0.018 (0.077),8.14E-01,9.44E-01,No,-0.375 (0.158),1.89E-02,7.15E-02,No,189,-0.024 (0.034),4.84E-01,7.63E-01,No,-0.055 (0.073),4.53E-01,6.29E-01,No,1163,0.061 (0.038),1.14E-01,3.10E-01,No,0.018 (0.077),8.15E-01,8.80E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_parstriangularis_thickavg,0.129 (0.075),8.82E-02,8.58E-01,No,-0.564 (0.155) *,3.66E-04,2.26E-03,Yes,189,0.065 (0.034),5.43E-02,2.05E-01,No,-0.351 (0.072) *,1.24E-06,8.41E-05,Yes,1163,0.105 (0.038),5.96E-03,8.70E-02,No,-0.237 (0.077) *,2.02E-03,6.53E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,R_pericalcarine_thickavg,0.028 (0.078),7.22E-01,9.44E-01,No,-0.064 (0.161),6.90E-01,7.45E-01,No,189,0.028 (0.034),4.13E-01,7.03E-01,No,-0.249 (0.072) *,5.92E-04,6.71E-03,Yes,1163,-0.014 (0.038),7.12E-01,8.66E-01,No,-0.33 (0.076) *,1.52E-05,2.07E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,R_postcentral_thickavg,-0.096 (0.077),2.15E-01,8.58E-01,No,0.194 (0.16),2.28E-01,3.21E-01,No,189,-0.002 (0.034),9.50E-01,9.79E-01,No,-0.016 (0.073),8.23E-01,8.89E-01,No,1163,0.034 (0.038),3.74E-01,6.36E-01,No,-0.099 (0.077),1.99E-01,3.01E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_posteriorcingulate_thickavg,-0.057 (0.077),4.56E-01,9.02E-01,No,0.419 (0.158) *,8.66E-03,3.78E-02,Yes,189,0.001 (0.034),9.88E-01,9.92E-01,No,0.037 (0.073),6.07E-01,7.37E-01,No,1163,-0.049 (0.038),1.96E-01,4.21E-01,No,-0.076 (0.077),3.22E-01,4.21E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_precentral_thickavg,-0.106 (0.077),1.71E-01,8.58E-01,No,-0.161 (0.159),3.14E-01,4.27E-01,No,189,-0.059 (0.034),8.54E-02,2.64E-01,No,0.116 (0.073),1.12E-01,2.66E-01,No,1163,-0.066 (0.038),8.32E-02,2.93E-01,No,0.059 (0.077),4.46E-01,5.62E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_precuneus_thickavg,-0.055 (0.078),4.77E-01,9.02E-01,No,0.059 (0.161),7.15E-01,7.48E-01,No,189,0.048 (0.034),1.60E-01,3.90E-01,No,-0.023 (0.073),7.51E-01,8.30E-01,No,1163,-0.056 (0.038),1.40E-01,3.28E-01,No,-0.036 (0.077),6.36E-01,7.59E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_rostralanteriorcingulate_thickavg,-0.147 (0.076),5.45E-02,8.58E-01,No,0.453 (0.157) *,4.41E-03,2.30E-02,Yes,189,-0.073 (0.034),3.33E-02,1.57E-01,No,0.11 (0.073),1.32E-01,2.82E-01,No,1163,0.014 (0.038),7.13E-01,8.66E-01,No,0.146 (0.077),5.82E-02,1.13E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_rostralmiddlefrontal_thickavg,0.025 (0.078),7.48E-01,9.44E-01,No,-0.223 (0.16),1.65E-01,2.61E-01,No,189,0.133 (0.034) *,9.38E-05,6.31E-03,Yes,-0.265 (0.072) *,2.58E-04,4.88E-03,Yes,1163,0.116 (0.038),2.29E-03,8.70E-02,No,-0.36 (0.076) *,2.59E-06,1.07E-04,Yes,864
cortical_thickness,CTQ_Neglect,female,R_superiorfrontal_thickavg,0.196 (0.075),9.92E-03,6.47E-01,No,-0.543 (0.155) *,5.82E-04,3.30E-03,Yes,189,0.108 (0.034) *,1.58E-03,2.68E-02,Yes,-0.26 (0.072) *,3.39E-04,4.88E-03,Yes,1163,0.064 (0.038),9.26E-02,3.00E-01,No,-0.279 (0.077) *,2.85E-04,1.44E-03,Yes,864
cortical_thickness,CTQ_Neglect,female,R_superiorparietal_thickavg,-0.086 (0.078),2.69E-01,8.58E-01,No,0.047 (0.16),7.70E-01,7.94E-01,No,189,0.032 (0.034),3.53E-01,6.31E-01,No,0.106 (0.073),1.46E-01,3.00E-01,No,1163,0.05 (0.038),1.90E-01,4.21E-01,No,-0.167 (0.077),3.02E-02,6.42E-02,No,864
cortical_thickness,CTQ_Neglect,female,R_superiortemporal_thickavg,0.023 (0.077),7.65E-01,9.44E-01,No,-0.389 (0.158),1.48E-02,5.91E-02,No,189,-0.044 (0.034),1.96E-01,4.17E-01,No,0.068 (0.073),3.50E-01,5.80E-01,No,1163,-0.106 (0.038),5.74E-03,8.70E-02,No,0.173 (0.077),2.42E-02,5.67E-02,No,864
cortical_thickness,CTQ_Neglect,female,R_supramargil_thickavg,-0.008 (0.077),9.13E-01,9.44E-01,No,-0.363 (0.158),2.32E-02,7.59E-02,No,189,0.018 (0.034),6.05E-01,8.10E-01,No,-0.009 (0.073),9.01E-01,9.50E-01,No,1163,-0.074 (0.038),5.42E-02,2.30E-01,No,0.075 (0.077),3.33E-01,4.27E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_frontalpole_thickavg,-0.097 (0.077),2.08E-01,8.58E-01,No,0.365 (0.159),2.26E-02,7.59E-02,No,189,0.063 (0.034),6.77E-02,2.19E-01,No,0.045 (0.073),5.34E-01,6.85E-01,No,1163,0.04 (0.038),2.95E-01,5.64E-01,No,-0.091 (0.077),2.36E-01,3.41E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_temporalpole_thickavg,0.063 (0.078),4.19E-01,8.94E-01,No,0.084 (0.16),6.01E-01,6.59E-01,No,189,-0.015 (0.034),6.61E-01,8.48E-01,No,-0.055 (0.073),4.54E-01,6.29E-01,No,1163,0.025 (0.038),5.19E-01,8.03E-01,No,0.168 (0.077),2.89E-02,6.33E-02,No,864
cortical_thickness,CTQ_Neglect,female,R_transversetemporal_thickavg,0.11 (0.075),1.47E-01,8.58E-01,No,-0.575 (0.155) *,2.81E-04,2.03E-03,Yes,189,0.002 (0.034),9.44E-01,9.79E-01,No,-0.007 (0.073),9.22E-01,9.50E-01,No,1163,0.011 (0.038),7.79E-01,8.83E-01,No,-0.021 (0.077),7.88E-01,8.64E-01,No,864
cortical_thickness,CTQ_Neglect,female,R_insula_thickavg,-0.037 (0.078),6.33E-01,9.44E-01,No,0.125 (0.161),4.39E-01,5.33E-01,No,189,-0.048 (0.034),1.58E-01,3.90E-01,No,0.158 (0.073),3.03E-02,1.19E-01,No,1163,0.004 (0.038),9.23E-01,9.37E-01,No,0.229 (0.077) *,2.86E-03,8.47E-03,Yes,864
cortical_thickness,CTQ_Neglect,male,L_bankssts_thickavg,-0.043 (0.084),6.08E-01,8.80E-01,No,-0.313 (0.187),9.57E-02,5.45E-01,No,159,-0.084 (0.04),3.65E-02,2.67E-01,No,0.053 (0.084),5.27E-01,7.31E-01,No,742,-0.064 (0.044),1.48E-01,9.87E-01,No,0.201 (0.09),2.59E-02,1.66E-01,No,585
cortical_thickness,CTQ_Neglect,male,L_caudalanteriorcingulate_thickavg,0.062 (0.085),4.65E-01,8.60E-01,No,0.188 (0.188),3.20E-01,8.07E-01,No,159,0.041 (0.04),3.09E-01,5.26E-01,No,0.072 (0.084),3.96E-01,6.56E-01,No,742,-0.029 (0.044),5.19E-01,9.87E-01,No,0.164 (0.09),6.84E-02,2.54E-01,No,585
